@relation trainSet

@attribute coverage numeric
@attribute dependent_and_referenced numeric
@attribute distinct_dependent_values numeric
@attribute multi_dependent numeric
@attribute multi_referenced numeric
@attribute foreignKey {FOREIGN_KEY,UNKNOWN,NO_FOREIGN_KEY}

@data
0.014680361611106627,0,1455,1,160,FOREIGN_KEY
0.2228289789331356,0,25544,2,192,FOREIGN_KEY
0.2965946471291866,0,15869,2,100,FOREIGN_KEY
0.0421075587734985,0,4827,2,192,FOREIGN_KEY
0.054171862395607125,0,34450,2,75,FOREIGN_KEY
1.0,0,5,45,84,FOREIGN_KEY
0.9375,0,15,35,68,FOREIGN_KEY
0.002210524151261541,0,430,2,110,FOREIGN_KEY
0.03548547013107115,0,542725,2,87,FOREIGN_KEY
0.6065989847715736,0,478,5,143,FOREIGN_KEY
0.033931310033093874,0,3363,2,160,FOREIGN_KEY
0.0013816626372323713,0,1387,1,109,FOREIGN_KEY
0.0015370853982027925,0,299,3,110,FOREIGN_KEY
0.005731233916343176,0,657,1,192,FOREIGN_KEY
1.0,0,2,60,73,FOREIGN_KEY
67940.0,0,67940,1,104,FOREIGN_KEY
0.05240450883291648,65,79536,1,140,FOREIGN_KEY
0.062465416538579774,94,27432,1,81,FOREIGN_KEY
4.3616696471409256E-5,0,5,10,192,FOREIGN_KEY
0.05955288164430865,0,37872,1,75,FOREIGN_KEY
0.015879788612202093,0,3089,1,110,FOREIGN_KEY
0.46769230462722505,0,469499,2,109,FOREIGN_KEY
0.0614618697705283,0,39086,2,75,FOREIGN_KEY
0.017164977072237873,0,3339,3,110,FOREIGN_KEY
0.001079558306430055,0,210,2,110,FOREIGN_KEY
0.212390535361897,0,213211,1,109,FOREIGN_KEY
0.18920368148517389,0,120322,1,75,FOREIGN_KEY
0.3435211471190084,0,1076586,1,96,FOREIGN_KEY
0.01839080459770115,65,8,23,90,FOREIGN_KEY
0.10094722598105547,0,373,8,151,FOREIGN_KEY
6.888610145791778E-4,0,134,3,110,FOREIGN_KEY
1.5422261520429355E-5,0,3,16,110,FOREIGN_KEY
0.027979181696842954,0,87686,1,96,FOREIGN_KEY
1.0,80,15294288,1,87,FOREIGN_KEY
9.458987065863339E-4,0,184,5,110,FOREIGN_KEY
1.5422261520429355E-5,0,3,16,110,FOREIGN_KEY
1.0,0,7398,2,89,FOREIGN_KEY
2.3451749E7,0,23451749,1,104,FOREIGN_KEY
0.0319693094629156,0,25,15,128,FOREIGN_KEY
0.01658792086171121,0,16652,2,109,FOREIGN_KEY
0.008023924642902433,0,9871,1,70,FOREIGN_KEY
0.8636853552938684,143,1467233,1,151,FOREIGN_KEY
8488077.0,0,8488077,1,104,FOREIGN_KEY
0.05204109218707759,0,385,5,89,FOREIGN_KEY
3.4957126112973206E-4,0,68,4,110,FOREIGN_KEY
0.41416483313113034,0,80565,2,110,FOREIGN_KEY
0.038249656953749295,0,3791,3,160,FOREIGN_KEY
7.197055376200366E-5,0,14,10,110,FOREIGN_KEY
0.15266126951586023,0,153251,1,109,FOREIGN_KEY
0.7931898656799404,0,975779,2,70,FOREIGN_KEY
4.626678456128807E-5,0,9,11,110,FOREIGN_KEY
0.0522585294588411,0,799257,1,87,FOREIGN_KEY
1.0,0,3695,2,151,FOREIGN_KEY
1.1836618E7,0,11836618,1,104,FOREIGN_KEY
1.0,142,1517732,1,140,FOREIGN_KEY
0.021618668539764303,0,277,3,75,FOREIGN_KEY
0.006929736176512924,0,1348,2,110,FOREIGN_KEY
6.837202607390348E-4,0,133,3,110,FOREIGN_KEY
1.0,0,29,22,120,FOREIGN_KEY
0.08626141815488593,0,54857,1,75,FOREIGN_KEY
1.0134502501849057E-5,0,155,1,87,FOREIGN_KEY
1.5939702382985505E-5,66,7,5,81,FOREIGN_KEY
0.10457801512756222,0,104982,1,109,FOREIGN_KEY
0.0017171770271358824,0,26263,2,87,FOREIGN_KEY
0.01912568306010929,0,14,15,149,FOREIGN_KEY
1.0,0,9,37,94,FOREIGN_KEY
0.02080218301435407,0,1113,1,100,FOREIGN_KEY
0.08497970230040595,0,314,4,151,FOREIGN_KEY
1.0,0,3,54,75,FOREIGN_KEY
0.02083847664634501,0,13252,1,75,FOREIGN_KEY
1.0,79,1230196,1,70,FOREIGN_KEY
0.0026925738550235227,0,41181,2,87,FOREIGN_KEY
0.11995629438851167,0,1537,2,75,FOREIGN_KEY
0.9780418244322183,0,981820,1,109,FOREIGN_KEY
0.0010034709685240873,0,1523,1,140,FOREIGN_KEY
0.10960757780784844,0,405,8,151,FOREIGN_KEY
4.720716649248399E-4,0,7220,2,87,FOREIGN_KEY
0.35252090557257515,0,1104791,1,96,FOREIGN_KEY
0.05224044824778024,0,79287,2,140,FOREIGN_KEY
0.0021170648806927133,0,32379,1,87,FOREIGN_KEY
0.3761840324763194,0,1390,4,151,FOREIGN_KEY
1.0,0,5,44,94,FOREIGN_KEY
0.013970186529306173,0,179,4,75,FOREIGN_KEY
0.005412719891745603,0,20,15,151,FOREIGN_KEY
0.0825833400597304,0,8185,1,160,FOREIGN_KEY
0.07978852207603519,0,7908,3,160,FOREIGN_KEY
0.03302657828857414,0,505118,1,87,FOREIGN_KEY
0.004331017171247509,0,5328,1,70,FOREIGN_KEY
0.870235198702352,0,6438,1,89,FOREIGN_KEY
7.414838400139573E-4,0,85,6,192,FOREIGN_KEY
0.5570568453455551,0,845463,1,140,FOREIGN_KEY
7.608315683411815E-4,0,148,3,110,FOREIGN_KEY
0.8988505747126436,0,391,6,90,FOREIGN_KEY
1.0,0,2,59,84,FOREIGN_KEY
1.0,0,3,50,89,FOREIGN_KEY
0.06478020334928229,0,3466,1,100,FOREIGN_KEY
0.08329907217648837,0,1274000,2,87,FOREIGN_KEY
0.9125837436435548,0,90448,3,160,FOREIGN_KEY
1.0,0,2,62,69,FOREIGN_KEY
0.10094722598105547,0,373,3,151,FOREIGN_KEY
0.08702099430266136,0,1115,2,75,FOREIGN_KEY
0.002241898198630436,126,257,9,192,FOREIGN_KEY
0.02295040163202856,0,180,5,207,FOREIGN_KEY
0.08805882874455977,0,88399,2,109,FOREIGN_KEY
0.5454545454545454,0,408,9,75,FOREIGN_KEY
2.4441818739344597E-4,0,766,2,96,FOREIGN_KEY
0.0018079287856021733,0,5666,1,96,FOREIGN_KEY
0.007428847780767619,0,11275,2,140,FOREIGN_KEY
0.999989910404391,0,99111,3,160,FOREIGN_KEY
0.11888104970910726,0,372570,1,96,FOREIGN_KEY
3942532.0,0,3942532,1,104,FOREIGN_KEY
7.851005364853665E-5,59,9,21,192,FOREIGN_KEY
8.225206144228989E-4,0,160,2,110,FOREIGN_KEY
